[2016-02-25 23:08:27.423] [INFO] d:\响亮教育\xljy_web\app.js - 载入入口依赖库完成..
[2016-02-25 23:08:27.468] [INFO] d:\响亮教育\xljy_web\app.js - 配置中静态目录信息载入完毕..
[2016-02-25 23:08:27.578] [INFO] d:\响亮教育\xljy_web\core\utils\pool\redis\redisPool.js - 连接Redis 数据库 0 成功 ,配置 {"SERVER":"120.25.102.158","PORT":"6379","PASSWORD":"","POOLSIZE":10,"DB":0,"TTL":11}
[2016-02-25 23:08:27.621] [INFO] d:\响亮教育\xljy_web\core\utils\pool\mysql\mysqlPool.js - show tables
[2016-02-25 23:08:27.668] [INFO] d:\响亮教育\xljy_web\core\utils\pool\mysql\mysqlPool.js - MYSQL 连接成功
[2016-02-25 23:08:27.668] [INFO] d:\响亮教育\xljy_web\core\utils\cache\cacheManager.js - 开始从XL_STATIC_DATA表中加载静态配置数据
[2016-02-25 23:08:27.710] [INFO] d:\响亮教育\xljy_web\core\utils\pool\mysql\mysqlPool.js - select * from XL_STATIC_DATA order by codeType,sortId
[2016-02-25 23:08:27.756] [INFO] d:\响亮教育\xljy_web\core\utils\cache\cacheManager.js - 从XL_STATIC_DATA表中加载静态配置数据成功，缓存元素数量：7
[2016-02-25 23:08:28.074] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/test/postXls
[2016-02-25 23:08:28.074] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/test/doUploadXls
[2016-02-25 23:08:28.083] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/login
[2016-02-25 23:08:28.083] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/weblogin
[2016-02-25 23:08:28.083] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/user/whiteCheck/:billId
[2016-02-25 23:08:28.083] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/resetPwd
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/register
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/user/securityCode/:billId
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/modifyPwd
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/user/list
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/user/show/:userId
[2016-02-25 23:08:28.084] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/user/add
[2016-02-25 23:08:28.085] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/user/del/:userId
[2016-02-25 23:08:28.085] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/user/modify/:userId
[2016-02-25 23:08:28.088] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/group/remove/:groupId
[2016-02-25 23:08:28.088] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/group/list
[2016-02-25 23:08:28.089] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/group/create
[2016-02-25 23:08:28.091] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/school/select/:schoolId
[2016-02-25 23:08:28.091] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/school/list
[2016-02-25 23:08:28.091] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/school/listClass
[2016-02-25 23:08:28.093] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/student/select/:studentId
[2016-02-25 23:08:28.093] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/student/list
[2016-02-25 23:08:28.096] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/trends/create
[2016-02-25 23:08:28.096] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/trends/like/:trendsId
[2016-02-25 23:08:28.097] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/trends/comment/:trendsId/:content
[2016-02-25 23:08:28.097] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/trends/list
[2016-02-25 23:08:28.098] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/trends/show/:userId
[2016-02-25 23:08:28.098] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/trends/top/:trendsId/:isTop
[2016-02-25 23:08:28.101] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/stations
[2016-02-25 23:08:28.101] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/stations/:id
[2016-02-25 23:08:28.101] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/stations
[2016-02-25 23:08:28.101] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/stations/:id
[2016-02-25 23:08:28.101] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/stations/:id
[2016-02-25 23:08:28.104] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/devices
[2016-02-25 23:08:28.105] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/devices/:id
[2016-02-25 23:08:28.105] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/devices
[2016-02-25 23:08:28.105] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/devices/:id
[2016-02-25 23:08:28.105] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/devices/:id
[2016-02-25 23:08:28.128] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/notices
[2016-02-25 23:08:28.129] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/notices
[2016-02-25 23:08:28.129] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/notices/:id
[2016-02-25 23:08:28.129] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/notices/:id
[2016-02-25 23:08:28.129] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/notices/:id
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/photos
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:delete 路径:/api/photos/:id
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/photos/like/:id
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/photos/comment/:id
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/photos
[2016-02-25 23:08:28.134] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:put 路径:/api/photos/:id
[2016-02-25 23:08:28.135] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/soft/info
[2016-02-25 23:08:28.137] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/point/show/:userId
[2016-02-25 23:08:28.137] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/point/update
[2016-02-25 23:08:28.137] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:get 路径:/api/point/list
[2016-02-25 23:08:28.141] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/batch/export/:bizType
[2016-02-25 23:08:28.141] [INFO] d:\响亮教育\xljy_web\core\utils\controller\controllerEnter.js - 方法:post 路径:/api/batch/import/:bizType
[2016-02-25 23:08:28.141] [INFO] d:\响亮教育\xljy_web\app.js - 载入/controllers 下控制器 完成..
[2016-02-25 23:08:28.168] [INFO] d:\响亮教育\xljy_web\app.js - Web 服务器启动监听  端口3001 启动时间:1273 ms
[2016-02-25 23:08:28.169] [INFO] d:\响亮教育\xljy_web\app.js - 启动流程结束
